  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1012, MODELAGEM DE DADOS ,IVAN MATHIAS FILHO,2,3WA,QQC,0,I,SEX 09-11 L504 / GAVEA  ,0,0,NÃO,INF
INF1012, MODELAGEM DE DADOS ,IVAN MATHIAS FILHO,2,3WB,QQC,0,I,SEX 13-15 L504 / GAVEA  ,0,0,NÃO,INF
INF1013, MODELAGEM DE SOFTWARE ,IVAN MATHIAS FILHO,4,3WA,QQC,17,I,SEG 17-19 L456 / GAVEA  QUA 17-19 L456 / GAVEA  ,0,0, SIM ,INF
INF1014, SEMINARIOS ,ANA CAROLINA LETICHEVSKY,1,3WA,QQC,5,I,QUI 17-18 L522 / GAVEA  ,0,0, SIM ,INF
INF1015, COMPUTABILIDADE ,TEMPO CONTINUO A DEFINIR,4,3WA,QQC,16,I,TER 13-15 L522 / GAVEA  QUI 13-15 L522 / GAVEA  ,0,0, SIM ,INF
INF1016, ESPEC/ANAL FORMAL DE SISTEMAS ,TEMPO CONTINUO A DEFINIR,4,3WA,QQC,19,I,TER 15-17 L224 / GAVEA  QUI 15-17 L150 / GAVEA  ,0,0, SIM ,INF
INF1018, SOFTWARE BASICO ,NOEMI DE LA ROCQUE RODRIGUEZ,4,3WA,QQC,1,I,TER 11-13 L546 / GAVEA  QUI 11-13 L546 / GAVEA  ,0,0, SIM ,INF
INF1018, SOFTWARE BASICO ,ANA LUCIA DE MOURA,4,3WB,QQC,0,I,TER 11-13 L548 / GAVEA  QUI 11-13 L548 / GAVEA  ,0,0, SIM ,INF
INF1019, SISTEMAS DE COMPUTACAO ,MARKUS ENDLER,4,3WA,QQC,6,I,TER 11-13 L504 / GAVEA  QUI 11-13 L504 / GAVEA  ,0,0, SIM ,INF
INF1020, PRINC SISTEMAS DE INFORMACAO ,LUIZ FERNANDO BESSA SEIBEL,4,3WA,CCI,1,I,TER 13-15 L508 / GAVEA  QUI 13-15 L508 / GAVEA  ,0,0,NÃO,INF
